k,lambda,gamma,tau,RMSE_train,RMSE_test,RMSE_gap
10,0.01,0.01,0.01,0.7002462968061697,0.790116713631302,0.0898704168251323
10,0.01,0.01,0.5,0.7442503494677891,0.7857136215455716,0.04146327207778244
10,0.01,1.0,0.01,0.7089375446443665,0.7914007219690123,0.08246317732464581
10,0.01,1.0,0.5,0.8119997207779758,0.848016400432425,0.03601667965444921
20,0.01,0.01,0.01,0.6408086021013263,0.8122478544118265,0.17143925231050017
20,0.01,0.01,0.5,0.7131598394996945,0.7761655738052268,0.06300573430553225
20,0.01,1.0,0.01,0.6471364528236598,0.8061192275432102,0.15898277471955036
20,0.01,1.0,0.5,0.7781461179830188,0.8354651568022642,0.05731903881924538
